Date,IndexFutNet,IndexOptNet
04-03-2020,228.72,2039.64
03-03-2020,3174.16,820.34
02-03-2020,-1635.53,2117.97
28-02-2020,-2206.98,726.32
27-02-2020,-1264.26,-1477.38
26-02-2020,1474.01,-1553.14
25-02-2020,-1245.45,-990.26
24-02-2020,-754.42,97.4
20-02-2020,998.19,767.95
19-02-2020,-454.57,-1100.97
18-02-2020,516.86,-611.16
17-02-2020,106.73,-513.3
14-02-2020,-1235.49,522.8
13-02-2020,1151.85,443.63
12-02-2020,1405.44,578.91
11-02-2020,-399.6,344
10-02-2020,-429.89,273.44
07-02-2020,220.21,595.57
06-02-2020,-320.31,481.79
05-02-2020,680.36,1677.31
04-02-2020,406.18,783.78
03-02-2020,-1411.04,-86.73
01-02-2020,-2286.56,-1259.46
31-01-2020,-1540.5,175.24
30-01-2020,440.73,890.86
29-01-2020,-541.62,-1011.41
28-01-2020,-2274.32,-481.53
27-01-2020,-575.71,25.53
24-01-2020,-416.21,-66.16
23-01-2020,-927.29,-1738.58
22-01-2020,-552.19,-1017.97
21-01-2020,134.79,-646.84
20-01-2020,134.15,-463.76
17-01-2020,-586.07,-215.91
16-01-2020,-910.2,-880.64
15-01-2020,-73.15,321.68
14-01-2020,209.11,-93.89
13-01-2020,308.91,-405.29
10-01-2020,1444.53,188.98
09-01-2020,-1220.3,548.4
08-01-2020,1391.65,547.34
07-01-2020,-976.67,-475.85
06-01-2020,-845.74,-17.26
03-01-2020,-235.17,702.72
02-01-2020,292.13,-21.41
01-01-2020,-692.83,-1271.01
31-12-2019,-337.84,-97.93
30-12-2019,73.52,807.17
27-12-2019,-1082.91,-274.66
26-12-2019,-466.54,-235.72
24-12-2019,611.77,804.37
23-12-2019,708.38,1179.29
20-12-2019,819.06,334.38
19-12-2019,667.46,208.11
18-12-2019,-44.32,659.94
17-12-2019,-596.67,-252.93
16-12-2019,1043.82,261.33
13-12-2019,719.58,-64.34
12-12-2019,-19.55,-282.37
11-12-2019,-141.99,-538.68
10-12-2019,15.3,667.26
09-12-2019,240.48,-354.58
06-12-2019,-664.93,-272.62
05-12-2019,-736.13,393.2
04-12-2019,-367.8,-604.78
03-12-2019,-306.88,2021.61
02-12-2019,-2002.41,191.21
29-11-2019,-758.71,1800.01
28-11-2019,-370.81,529.21
27-11-2019,3934.18,-776.77
26-11-2019,1953.44,142.88
25-11-2019,-832.53,-41.97
22-11-2019,-162.22,-1204.86
21-11-2019,-818.32,-42.76
20-11-2019,-62.99,-214.58
19-11-2019,-298.93,-123.59
18-11-2019,-656.11,-35.58
15-11-2019,-441.64,465.46
14-11-2019,-171.82,-387.59
13-11-2019,-490.98,-140.54
11-11-2019,-249.99,172.09
08-11-2019,327.92,190.29
07-11-2019,295.75,-947.21
06-11-2019,-113.63,-22.73
05-11-2019,199.12,-271.02
04-11-2019,428.06,1095.13
01-11-2019,-343.59,1368.68
31-10-2019,-996.61,-153.09
30-10-2019,1243.28,227.2
29-10-2019,-2.74,36.49
25-10-2019,-326.96,-369.4
24-10-2019,-346.38,256.9
23-10-2019,1328.21,317.65
22-10-2019,-559.91,655.82
18-10-2019,793.86,1235.35
17-10-2019,407.6,746.37
16-10-2019,743.67,357.95
15-10-2019,974.79,251.97
14-10-2019,661.48,-681.07
11-10-2019,-684.66,-226.75
10-10-2019,-166.79,903.4
09-10-2019,610.54,384.56
07-10-2019,-724.81,129.2
04-10-2019,-1062.53,96.77
03-10-2019,164.27,-730.7
01-10-2019,700.75,-181.81
30-09-2019,-259.56,-1055.49
27-09-2019,1080.09,264.07
26-09-2019,-166.32,-608.25
25-09-2019,886.21,-818.25
24-09-2019,1693.06,804.75
23-09-2019,5078.79,1681.64
20-09-2019,-1700.12,-407.76
19-09-2019,542.12,601.19
18-09-2019,592.18,364.76
17-09-2019,-1633.36,-397.03
16-09-2019,300.49,126.97
13-09-2019,-1006.49,-200.26
12-09-2019,40.86,498.48
11-09-2019,221.33,-52.65
09-09-2019,308.54,-374.82
06-09-2019,-955.06,232.37
05-09-2019,1038.56,76.32
04-09-2019,213.52,-903.69
03-09-2019,864.12,1109.94
30-08-2019,-1091.9,474.68
29-08-2019,-1419.79,-287.06
28-08-2019,654.99,1784.31
27-08-2019,621.78,742.93
26-08-2019,428.1,426.83
23-08-2019,-243.76,-125.36
22-08-2019,-137.16,-327.62
21-08-2019,503.79,-561.97
20-08-2019,-72.28,-326.99
19-08-2019,-294.26,-490.92
16-08-2019,914.19,197.94
14-08-2019,-152.61,-969.98
13-08-2019,-271,47.42
09-08-2019,269.9,362.85
08-08-2019,-980.6,608.57
07-08-2019,-541.09,689.3
06-08-2019,-1155.55,1221.96
05-08-2019,-1014.66,1112.2
02-08-2019,-2048.76,-371.27
01-08-2019,-1145.32,686.59
31-07-2019,939.21,1198.77
30-07-2019,-1637.94,190.63
29-07-2019,-1049.2,720.87
26-07-2019,-1177.71,417.64
25-07-2019,-1262.69,-186.68
24-07-2019,-599.11,-293.84
23-07-2019,-1086.12,717.92
22-07-2019,-1058.68,-75.42
19-07-2019,1367.84,-703.79
18-07-2019,-384.99,-203.76
17-07-2019,-53.28,439.08
16-07-2019,263.24,677.78
15-07-2019,170.94,296.02
12-07-2019,572.08,869.87
11-07-2019,140.91,-219.63
10-07-2019,-1469.23,-235.53
09-07-2019,-2901.96,-897.52
08-07-2019,-672.87,-67.07
05-07-2019,-4.17,312.91
04-07-2019,7.37,461.45
03-07-2019,-124.78,358.82
02-07-2019,446.81,-324.55
01-07-2019,-436.34,361.17
28-06-2019,2671.31,1140.02
27-06-2019,-839.21,916.9
26-06-2019,-1103.42,694.16
25-06-2019,316.68,-121.38
24-06-2019,-159.71,38.95
21/06/2019,-159.71,321.65
20/06/2019,-236.99,1075.72
19/06/2019,353.69,-574.85
18/06/2019,118.7,52.57
17/06/2019,58.03,-489.78
14/06/2019,365.56,-672.77
13/06/2019,-278.16,-97.54
12-06-2019,-172.63,-282.65
11-06-2019,949.76,562.9
10-06-2019,-75.53,231.33
07-06-2019,-287.28,307.19
06-06-2019,-1473.26,-210.96
04-06-2019,-1152.85,-748.72
03-06-2019,2295.82,1358.8
31/05/2019,-404.59,2430.99
30/05/2019,2221.25,1025
29/05/2019,-734.17,-791.74
28/05/2019,-947.31,133.18
27/05/2019,-587.25,-374.48
24/05/2019,-9.28,-364.69
23/05/2019,-1413.63,-372.36
22/05/2019,135.85,-480.24
21/05/2019,-86.41,-884.08
20/05/2019,1070.87,792.96
17/05/2019,311.22,591.65
16/05/2019,-819.53,420.88
15/05/2019,275.84,312.26
14/05/2019,-702.06,409.49
13/05/2019,-137.68,186.31
10-05-2019,-1296.26,362.19
09-05-2019,-2068.36,-951.77
08-05-2019,-1128.93,-956.3
07-05-2019,-464.24,23.32
06-05-2019,-912.66,-563.53
03-05-2019,153.41,547.63
02-05-2019,-516.22,269.8
30/04/2019,-1479.28,165.1
26/04/2019,303.52,1021.81
25/04/2019,151.9,578.7
24/04/2019,441.34,382.12
23/04/2019,1793.91,193.2
22/04/2019,294.15,-454.3
18/04/2019,1207.46,-17.49
16/04/2019,740.95,-369.47
15/04/2019,-222.37,-270.09
12-04-2019,-436.14,-414.14
11-04-2019,28.42,-744.73
10-04-2019,-1169.69,-688.93
09-04-2019,-211.62,-227.98
08-04-2019,-864.98,-1039.35
05-04-2019,632.15,-511.37
04-04-2019,72.71,-167.47
03-04-2019,92.04,1356.29
02-04-2019,-74.91,646.5
01-04-2019,504.9,340.39
3/29/2019,-666.8,388.1
3/28/2019,1814.99,1370.05
3/27/2019,1508.54,291.06
3/26/2019,-1883.08,-701.86
3/25/2019,-152.85,-785.22
3/22/2019,550.12,-1885.38
3/20/2019,51.07,-1148.33
3/19/2019,287.54,-600.93
3/18/2019,827.98,-801.82
3/15/2019,2361.62,-2475.07
3/14/2019,485.12,341.6
3/13/2019,1822.17,-908.1
3/12/2019,1975.22,220.86
3/11/2019,-12.73,750.7
3/8/2019,-251.39,-1088.44
3/7/2019,532.84,-377.84
3/6/2019,377.03,161.46
3/5/2019,143.93,559.49
3/1/2019,169.96,-140.11
2/28/2019,1214.65,608.56
2/27/2019,456.38,386.89
2/26/2019,-698.27,561.74
2/25/2019,297.02,-902.45
2/22/2019,75.58,-1086.29
2/21/2019,-472.37,300.88
2/20/2019,746.39,266.46
2/19/2019,774.14,163.76
2/18/2019,-433.62,-71.07
2/15/2019,-1054.63,131.48
2/14/2019,-3600.61,-499.52
2/13/2019,397.2,-301.22
2/12/2019,401.46,-546.13
2/11/2019,274.53,-551.92
2/8/2019,-224.34,-798.57
2/7/2019,999.21,473.41
2/6/2019,2817.98,865.83
2/5/2019,794.52,-320.55
2/4/2019,-184.77,110.51
2/1/2019,1711.35,856.54
1/30/2019,2765.26,1160.91
1/29/2019,-466.16,-165.46
1/28/2019,417.32,-460.12
1/25/2019,1208.38,-294.19
1/24/2019,-510.91,571.07
1/23/2019,-314.65,-166.95
1/22/2019,-460.44,763.72
1/21/2019,485.38,388.77
1/18/2019,-398.34,537.6
1/17/2019,-598.54,445.11
1/16/2019,-818.08,171.17
1/15/2019,1153.09,595.17
1/14/2019,-989.68,558.2
1/11/2019,-539.53,204.89
1/10/2019,426.23,321.98
1/9/2019,460.48,-366.46
1/8/2019,-418.03,227.82
1/7/2019,408.41,125.31
1/4/2019,-351.08,145.3
1/3/2019,-477.01,-913.41
1/2/2019,-817.09,-970.5
1/1/2019,-475.99,-83.41
12/31/2018,549.88,-9.49
12/28/2018,632.22,824.28
12/27/2018,1040.58,669.53
12/26/2018,-754.74,-272.05
12/24/2018,205.19,-645.81
12/21/2018,-315.71,-1204.35
12/20/2018,300.26,-552.07
12/19/2018,501.79,-71.11
12/18/2018,-950.97,-259.53
12/17/2018,-319.19,6.03
12/14/2018,249.15,357.19
12/13/2018,2395.73,-95.57
12/12/2018,-488.6,-5.13
12/11/2018,-635.95,672
12/10/2018,-1012.27,-851.55
12/7/2018,616.73,854.88
12/6/2018,-1722.02,-1047.14
12/5/2018,-1164.68,-843.03
12/4/2018,37.26,-399.11
12/3/2018,401.26,350.44
11/30/2018,171.81,32.07
11/29/2018,3302.53,657.39
11/28/2018,1067.05,-570.72
11/27/2018,-704.67,-102.74
11/26/2018,-167.79,475.21
11/22/2018,1600.59,-288.57
11/21/2018,-705.12,-111.04
11/20/2018,170.51,-573.25
11/19/2018,860.7,34.25
11/16/2018,163.05,-443.65
11/15/2018,418.78,-568.26
11/14/2018,91.79,-1215.1
11/13/2018,-111.38,-603.91
11/12/2018,-168.83,-146.85
11/9/2018,647.19,136.77
11/7/2018,164.74,11.6
11/6/2018,440.05,-790.69
11/5/2018,-481.2,-531.85
11/2/2018,1380.85,445.88
